ID,GLOSS,CONCEPTICON_ID,CONCEPTICON_GLOSS
6,"answer a call",,
165,"get intoxicated",,
186,"headpad",,
189,"hearthstone",,
214,"keep livestock",,
288,"pound grain",,
300,"refuse to give",,
343,"slap, flat of hand",,
425,"white hair",,
435,"come from",,
