Grapheme	IPA
$	NULL
+	+
+$	NULL
-	+
-$	NULL
.	+
^	NULL
^-	NULL
^a	a
^aa	a a
^b	b
^bw	b w
^c	c
^d	d
^dw	d w
^e	e
^e$	e
^f	f
^fw	f w
^fw$	f w
^g	g
^gw	g w
^h	h
^i	i
^ii	iː
^j	j
^k	k
^kw	k w
^kʰ	kʰ
^l	l
^lw	l w
^lw$	l w
^m	m
^mw	m w
^n	n
^nn	nː
^ns	n s
^nw	n w
^nw$	n w
^nʃ	n ʃ
^nʰ	nʰ
^o	o
^oo	o o
^p	p
^p$	p
^pw	p w
^pʰ	pʰ
^qʰ	qʰ
^qʰw	qʰ w
^r	r
^rw	r w
^r̀	r̀/r̩
^s	s
^sh	sʰ
^sw	s w
^t	t
^ts	ts
^tsw	ts w
^tsʰ	tsʰ
^tsʰw	tsʰ w
^tw	t w
^tʃʰ	tʃʰ
^tʰ	tʰ
^v	v
^vw	v w
^w	w
^x	x
^xw	x w
^z	z
^zw	z w
^ß	β
^ß$	β
^ßw	β w
^à	à/a
^àh	à/a h
^às	à/a s
^àw	à/a w
^àà	à/a à/a
^ààà$	à/a à/a + à/a
^á	á/a
^á$	á/a
^â	â/a
^è	è/e
^èh	è/e h
^ès	è/e s
^èè	è/e è/e
^èʃ	è/e ʃ
^èʃ$	è/e ʃ
^é	é/e
^és	é/a s
^ì	ì/i
^ìs	ì/i s
^ìs$	ì/i s
^ìì	ì/i ì/i
^ìì$	ì/i ì/i
^í	í/i
^ò	ò/o
^òò	ò/o ò/o
^òò$	ò/o ò/o
^ó	ó/o
^ó$	ó/o
^ós	ó/o s
^óó	ó/o ó/o
^óó$	ó/o ó
^óʃ	ó/o ʃ
^ù	ù/u
^ùw	ù/u w
^ùʃ	ù/u ʃ
^ú	ú/u
^ú$	ú/u
^úú	ú/u ú/u
^û	û/u
^ě	ě/e
^ěs	ě/e s
^ń	ń/n
^ŋ	ŋ
^ŋw	ŋ w
^ŋ̀	ŋ̀/ŋ
^ŋ́	ŋ́/ŋ̍
^ǀ	ǀ
^ǎ	ǎ/a
^ǎs	ǎ/a s
^ǎs$	ǎ/a s
^ǐ	ǐ/i
^ǐs	ǐ/i s
^ǐs$	ǐ/i s
^ǒ	ǒ/o
^ǔ	ǔ/u
^ǔs$	ǔ/u s
^ǹ	ǹ/n̩
^ɓ	ɓ
^ɔ̀	ɔ̀/ɔ
^ɔ̀ɔ̀	ɔ̀/ɔ ɔ̀/ɔ
^ɔ́	ɔ́/ɔ
^ɔ́$	ɔ́/ɔ
^ɔ̌	ɔ̌/ɔ
^ɛ̀	ɛ̀/ɛ
^ɛ̀ɛ̀	ɛ̀/ɛ ɛ̀/ɛ
^ɛ̀ɛ̀$	ɛ̀/ɛ ɛ̀/ɛ
^ɛ́	ɛ́/ɛ
^ɛ́$	ɛ́/ɛ
^ɛ́ɛ́$	ɛ́/ɛ ɛ́/ɛ
^ɛ̌	ɛ̌/ɛ
^ɣ	ɣ
^ɩ̀	ɩ̀/i
^ɩ́$	ɩ́/i
^ɩ̌	ɩ̌/i
^ɲ	ɲ
^ɲ$	ɲ
^ɲw	ɲ w
^ɲ̀	ɲ̀/ɲ
^ɲ́	ɲ́/ɲ̍
^ʃ	ʃ
^ʃw	ʃ w
^ʊ̀	ʊ̀/ʊ
^ʊ̀ʊ̀	ʊ̀/ʊ ʊ̀/ʊ
^ʊ́	ʊ́/ʊ
^ʊ̌	ʊ̌/ʊ
^ʝ	ʝ
^ʝw	ʝ w
^ʤ	dʒ
^ʤ̑	dʒ
^ʤ̑w	dʒ w
^ʧ	tʃ
^ʧ̑	tʃ
^ʧ̑w	tʃ w
^β	β
^βw	β w
^χ	χ
^χw	χ w
^ḿ	ḿ/m̩
_	+
a	a
a$	a
aa	a a
aa$	aː
b	b
b$	b
bh	bʰ
bw	b w
d	d
d$	d
dw	d w
e	e
e$	e
ee	e e
f	f
fw	f w
fw$	f w
g	g
g$	g
gw	g w
h	h
i	i
i$	i
ii	i/i i
j	j
j$	j
jw	j w
k	k
k$	k
kw	k w
l	l
l$	l
lw	l w
m	m
m$	m
mw	m w
mʰ	mʰ
n	n
n$	n
nn	nː
ns	n s
nw	n w
nʃ	n ʃ
nʃ$	n ʃ
nʸ	nʲ
o	o
o$	o
oo	oː
p	p
p$	p
pw	p w
pw$	p w
pʰ	pʰ
qʰ	qʰ
r	r
r$	r
rw	r w
s	s
s$	s
sw	s w
t	t
t$	t
ts	ts
tsw	ts w
tsʰ	tsʰ
tsʰw	tsʰ w
tw	t w
tɬ	tɬ
tɬw	tɬ w
tɬʰ	tɬʰ
tʃ	tʃ
tʃʰ	tʃʰ
tʰ	tʰ
u	u
u$	u
uu	u u
v	v
w	w
x	x
y	y
z	z
ß	β
ß$	β
ßw	β w
à	à/a
à$	à/a
àh	à/a h
às	à/a s
às$	à/a s
àw	à/a w
àà	à/a à/a
àà$	à/a à/a
àʃ	à/a ʃ
á	á
á$	á/a
á:$	áː/aː
áá	á/a á/a
áá$	á/a á/a
â	â/a
â$	â/a
è	è/e
è$	è/e
èh	è/e h
ès	è/e s
ès$	è/e s
èw	è/a w
èè	è/e è/e
èè$	è/e è/e
èʃ	è/e ʃ
é	é/e
é$	é/e
éh	é/e h
és	é/e s
éw	é/e w
éé	é/e é/e
éé$	é/e é/e
ê	ê/e
ê$	ê/e
êh	ê/e h
ês$	ê/e s
êʃ	ê/e ʃ
ì	ì/i
ì$	ì/i
ì:$	ìː/iː
ìh	ì/i h
ìs	ì/i s
ìs$	ì/i s
ìì	ìì
ìì$	ì/i ì/i
ìʃ	ì/i ʃ
ìʃ$	ì/i ʃ
ìʃìʃ$	ì/i ʃ ì/i ʃ
í	í/i
í$	í/i
íí	í/i í/i
î	î
î$	î/i
îʃ	î/i ʃ
ò	ò/o
ò$	ò/o
òh	ò/o h
òs	ò/o s
òs$	ò/o s
òw	ò/o w
òò	ò/o ò/o
òò$	ò/o ò/o
òʃ	ò/o ʃ
ó	ó/o
ó$	ó/o
ó:$	óː/oː
óh	ó/o h
ós	ó/o s
ós$	ó/o s
óó	ó/o ó/o
óó$	ó/o ó/o
óʃ	ó/o ʃ
óʃw	ó/o ʃ w
ô	ô
ô$	ô/o
ôs$	ô/o s
ù	ù/u
ù$	ù/u
ùh	ù/u h
ùs	ù/u s
ùs$	ù/u s
ùsw	ù/u s w
ùw	ù/u w
ùù	ù/u ù/u
ùʃ$	ù/u ʃ
ú	ú/u
ú$	ú/u
úú	ú/u ú/u
û	û/u
û$	û/u
ûʃ	û/u ʃ
ē$	ē/e
ń	ń/n̩
ŋ	ŋ
ŋ$	ŋ
ŋw	ŋ w
ŋʰ	ŋʰ
ŋʰw	ŋʰ w
ŋ̀$	ŋ̀/ŋ
ŋ́	ŋ́/ŋ
ŋ́$	ŋ́/ŋ̍
ō	ō/o
ǀ̰	ǀ̰
ǎ$	ǎ/a
ǐ	ǐ/i
ǐ$	ǐ/i
ǒ	ǒ/o
ǒ$	ǒ/o
ǔs$	ǔ/u s
ɓ	ɓ
ɔ̀	ɔ̀/ɔ
ɔ̀$	ɔ̀/ɔ
ɔ̀ɔ̀	ɔ̀/ɔ ɔ̀/ɔ
ɔ̀ɔ̀$	ɔ̀/ɔ ɔ̀/ɔ
ɔ́	ɔ́/ɔ
ɔ́$	ɔ́/ɔ
ɔ́ɔ́	ɔ́/ɔ ɔ́/ɔ
ɔ́ɔ́$	ɔ́/ɔ ɔ́/ɔ
ɔ̂	ɔ̂/ɔ
ɔ̌	ɔ̌/ɔ
ɔ̌$	ɔ̌/ɔ
ɛ̀	ɛ̀/ɛ
ɛ̀$	ɛ̀/ɛ
ɛ̀ɛ̀	ɛ̀/ɛ ɛ̀/ɛ
ɛ̀ɛ̀$	ɛ̀/ɛ ɛ̀/ɛ
ɛ́	ɛ́/ɛ
ɛ́$	ɛ́/ɛ
ɛ́ɛ́	ɛ́/ɛ ɛ́/ɛ
ɛ́ɛ́$	ɛ́/ɛ ɛ́/ɛ
ɛ̂	ɛ̂/ɛ
ɛ̂$	ɛ̂/ɛ
ɛ̌	ɛ̌/ɛ
ɛ̌$	ɛ̌/ɛ
ɣ	ɣ
ɩ̀	ɩ̀/i
ɩ̀$	ɩ̀/i
ɩ̀h	ɩ̀/i h
ɩ̀s	ɩ̀/i s
ɩ̀ɩ̀	ɩ̀/i ɩ̀/i
ɩ́	ɩ́/i
ɩ́$	ɩ́/i
ɩ́s	ɩ́/i s
ɩ̌	ɩ̌/i
ɩ̌$	ɩ̌/i
ɬ	ɬ
ɬʰ	ɬʰ
ɲ	ɲ
ɲw	ɲ w
ɸ$	ɸ
ʃ	ʃ
ʃ$	ʃ
ʊ̀	ʊ̀/ʊ
ʊ̀$	ʊ̀
ʊ̀ʊ̀	ʊ̀/ʊ ʊ̀/ʊ
ʊ́	ʊ́/ʊ
ʊ́$	ʊ́/ʊ
ʊ̌	ʊ̌/ʊ
ʊ̌$	ʊ̌/ʊ
ʝ	ʝ
ʝw	ʝ w
ʤ	dʒ
ʤ̑	dʒ
ʤ̑w	dʒ w
ʧ	tʃ
ʧ̑	tʃ
β	β
χ	χ
χw	χ w
